"Crimes Against Person By City or County"
"Current date: 6/24/2023 10:47:56 AM (Eastern Daylight Time)"
"Data source: Virginia_SS, Offense Data"
"Incident Date: 2021"
"Jurisdiction by Geography","Offense Type","Number of Crimes",
"Nottoway County","Intimidation","9"
"Nottoway County","Human Trafficking, Commercial Sex Acts",""
"Nottoway County","Human Trafficking, Involuntary Servitude",""
"Petersburg City","Crimes Against Person","509"
"Petersburg City","Murder and Nonnegligent Manslaughter","19"
"Petersburg City","Negligent Manslaughter","1"
"Petersburg City","Justifiable Homicide",""
"Petersburg City","Kidnapping/Abduction","1"
"Petersburg City","Forcible Rape","9"
"Petersburg City","Forcible Sodomy","2"
"Petersburg City","Sexual Assault With An Object",""
"Petersburg City","Forcible Fondling","6"
"Petersburg City","Incest",""
"Petersburg City","Statutory Rape",""
"Petersburg City","Aggravated Assault","201"
"Petersburg City","Simple Assault","240"
"Petersburg City","Intimidation","30"
"Petersburg City","Human Trafficking, Commercial Sex Acts",""
"Petersburg City","Human Trafficking, Involuntary Servitude",""
"Powhatan County","Crimes Against Person","282"
"Powhatan County","Murder and Nonnegligent Manslaughter",""
"Powhatan County","Negligent Manslaughter",""
"Powhatan County","Justifiable Homicide",""
"Powhatan County","Kidnapping/Abduction","1"
"Powhatan County","Forcible Rape","6"
"Powhatan County","Forcible Sodomy","3"
"Powhatan County","Sexual Assault With An Object","3"
"Powhatan County","Forcible Fondling","16"
"Powhatan County","Incest",""
"Powhatan County","Statutory Rape",""
"Powhatan County","Aggravated Assault","41"
"Powhatan County","Simple Assault","182"
"Powhatan County","Intimidation","30"
"Powhatan County","Human Trafficking, Commercial Sex Acts",""
"Powhatan County","Human Trafficking, Involuntary Servitude",""
"Prince George County","Crimes Against Person","498"
"Prince George County","Murder and Nonnegligent Manslaughter","3"
"Prince George County","Negligent Manslaughter","2"
"Prince George County","Justifiable Homicide",""
"Prince George County","Kidnapping/Abduction","9"
"Prince George County","Forcible Rape","14"
"Prince George County","Forcible Sodomy","3"
"Prince George County","Sexual Assault With An Object","2"
"Prince George County","Forcible Fondling","27"
"Prince George County","Incest","1"
"Prince George County","Statutory Rape","1"
"Prince George County","Aggravated Assault","104"
"Prince George County","Simple Assault","285"
"Prince George County","Intimidation","47"
"Prince George County","Human Trafficking, Commercial Sex Acts",""
"Prince George County","Human Trafficking, Involuntary Servitude",""
"Richmond City","Crimes Against Person","3,232"
"Richmond City","Murder and Nonnegligent Manslaughter","90"
"Richmond City","Negligent Manslaughter",""
"Richmond City","Justifiable Homicide",""
"Richmond City","Kidnapping/Abduction","39"
"Richmond City","Forcible Rape","15"
"Richmond City","Forcible Sodomy","4"
"Richmond City","Sexual Assault With An Object","3"
"Richmond City","Forcible Fondling","33"
"Richmond City","Incest",""
"Richmond City","Statutory Rape","1"
"Richmond City","Aggravated Assault","539"
"Richmond City","Simple Assault","2,322"
"Richmond City","Intimidation","186"
"Richmond City","Human Trafficking, Commercial Sex Acts",""
"Richmond City","Human Trafficking, Involuntary Servitude",""
"Richmond County","Crimes Against Person","22"
"Richmond County","Murder and Nonnegligent Manslaughter",""
"Richmond County","Negligent Manslaughter",""
"Richmond County","Justifiable Homicide",""
"Richmond County","Kidnapping/Abduction","1"
"Richmond County","Forcible Rape",""
"Richmond County","Forcible Sodomy",""
"Richmond County","Sexual Assault With An Object",""
"Richmond County","Forcible Fondling","1"
"Richmond County","Incest",""
"Richmond County","Statutory Rape",""
"Richmond County","Aggravated Assault","6"
"Richmond County","Simple Assault","12"
"Richmond County","Intimidation","2"
"Richmond County","Human Trafficking, Commercial Sex Acts",""
"Richmond County","Human Trafficking, Involuntary Servitude",""
"Westmoreland County","Crimes Against Person","190"
"Westmoreland County","Murder and Nonnegligent Manslaughter",""
"Westmoreland County","Negligent Manslaughter",""
"Westmoreland County","Justifiable Homicide",""
"Westmoreland County","Kidnapping/Abduction","4"
"Westmoreland County","Forcible Rape","5"
"Westmoreland County","Forcible Sodomy","2"
"Westmoreland County","Sexual Assault With An Object","3"
"Westmoreland County","Forcible Fondling","8"
"Westmoreland County","Incest",""
"Westmoreland County","Statutory Rape","1"
"Westmoreland County","Aggravated Assault","15"
"Westmoreland County","Simple Assault","137"
"Westmoreland County","Intimidation","15"
"Westmoreland County","Human Trafficking, Commercial Sex Acts",""
"Westmoreland County","Human Trafficking, Involuntary Servitude",""
"Division 1 - Education","Crimes Against Person","363"
"Division 1 - Education","Murder and Nonnegligent Manslaughter",""
"Division 1 - Education","Negligent Manslaughter",""
"Division 1 - Education","Justifiable Homicide",""
"Division 1 - Education","Kidnapping/Abduction","5"
"Division 1 - Education","Forcible Rape","8"
"Division 1 - Education","Forcible Sodomy","4"
"Division 1 - Education","Sexual Assault With An Object","2"
"Division 1 - Education","Forcible Fondling","12"
